# Ambiente de execução
# Linux cibsnotebook 7.2.6-arch2-1 #1 SMP PREEMPT_DYNAMIC Mon, 14 Sep 2026 22:41:30 +0000 x86_64 GNU/Linux
# Compilador: gcc (GCC) 16.2.1 20260810
# CPU: Intel(R) Core(TM) 7 240H
# CPUs lógicas: 16
# Governador: performance
# Repetições por config: 5

bloco,politica,chunk,threads,largura,altura,max_iter,rep,tempo_calculo,fator_balanceamento
zoom,static,16,4,4096,4096,5000,3,0.713184,1.0160
zoom,static,16,4,4096,4096,5000,4,0.712805,1.0149
zoom,static,16,4,4096,4096,5000,5,0.712751,1.0112
zoom,dynamic,1,4,4096,4096,5000,1,0.710450,1.0008
zoom,dynamic,1,4,4096,4096,5000,2,0.705498,1.0007
zoom,dynamic,1,4,4096,4096,5000,3,0.703813,1.0006
zoom,dynamic,1,4,4096,4096,5000,4,0.705523,1.0004
zoom,dynamic,1,4,4096,4096,5000,5,0.704622,1.0006
zoom,dynamic,16,4,4096,4096,5000,1,0.708194,1.0074
zoom,dynamic,16,4,4096,4096,5000,2,0.708309,1.0099
zoom,dynamic,16,4,4096,4096,5000,3,0.705911,1.0075
zoom,dynamic,16,4,4096,4096,5000,4,0.702929,1.0062
zoom,dynamic,16,4,4096,4096,5000,5,0.705680,1.0085
zoom,guided,1,4,4096,4096,5000,1,0.775492,1.1103
zoom,guided,1,4,4096,4096,5000,2,0.775603,1.1117
zoom,guided,1,4,4096,4096,5000,3,0.775523,1.1102
zoom,guided,1,4,4096,4096,5000,4,0.781602,1.1174
zoom,guided,1,4,4096,4096,5000,5,0.775547,1.1091
zoom,guided,32,4,4096,4096,5000,1,0.775851,1.1106
zoom,guided,32,4,4096,4096,5000,2,0.776660,1.1106
zoom,guided,32,4,4096,4096,5000,3,0.777426,1.1069
zoom,guided,32,4,4096,4096,5000,4,0.782219,1.1152
zoom,guided,32,4,4096,4096,5000,5,0.790289,1.1284
zoom,static,NA,16,4096,4096,5000,1,0.355511,1.7248
zoom,static,NA,16,4096,4096,5000,2,0.317196,1.5510
zoom,static,NA,16,4096,4096,5000,3,0.374849,1.6953
zoom,static,NA,16,4096,4096,5000,4,0.369677,1.6226
zoom,static,NA,16,4096,4096,5000,5,0.368881,1.5935
zoom,static,1,16,4096,4096,5000,1,0.269723,1.1461
zoom,static,1,16,4096,4096,5000,2,0.299199,1.2233
zoom,static,1,16,4096,4096,5000,3,0.328668,1.3460
zoom,static,1,16,4096,4096,5000,4,0.271639,1.1478
zoom,static,1,16,4096,4096,5000,5,0.342726,1.3731
zoom,static,16,16,4096,4096,5000,1,0.279091,1.1933
zoom,static,16,16,4096,4096,5000,2,0.341816,1.3500
zoom,static,16,16,4096,4096,5000,3,0.327850,1.3469
zoom,static,16,16,4096,4096,5000,4,0.312632,1.2953
zoom,static,16,16,4096,4096,5000,5,0.310093,1.2900
